partner,partner_id,produkt_id,produkt_name,kategorie,provision_typ,provision_wert,waehrung,laufzeit,bemerkung,quelle,tracking_info,status,updated_at
Telekom,100228979,ZUB_WLAN_CG,WLAN Comfort Glasfaser (Miete),Zubuchbar,SALE,5.0,EUR,,,Telekom Profis,,ACTIVE,2026-07-07
Telekom,100228979,ZUB_WLAN_C5,WLAN Comfort und 5G-Empfänger (Miete),Zubuchbar,SALE,5.0,EUR,,,Telekom Profis,,ACTIVE,2026-07-07
Congstar,100228979,C_AF_XS,congstar Allnet Flat XS,Mobilfunk,SALE,20.0,EUR,24M,,Telekom Profis,,ACTIVE,2026-07-07
Congstar,100228979,C_AF_S,congstar Allnet Flat S,Mobilfunk,SALE,25.0,EUR,24M,,Telekom Profis,,ACTIVE,2026-07-07
Congstar,100228979,C_AF_M,congstar Allnet Flat M,Mobilfunk,SALE,35.0,EUR,24M,,Telekom Profis,,ACTIVE,2026-07-07
Congstar,100228979,C_AF_L,congstar Allnet Flat L,Mobilfunk,SALE,40.0,EUR,24M,,Telekom Profis,,ACTIVE,2026-07-07
Congstar,100228979,C_HS_GS,congstar Homespot & Go S,Mobilfunk,SALE,30.0,EUR,24M,,Telekom Profis,,ACTIVE,2026-07-07
Congstar,100228979,C_HS_GM,congstar Homespot & Go M,Mobilfunk,SALE,40.0,EUR,24M,,Telekom Profis,,ACTIVE,2026-07-07
Congstar,100228979,C_HS_GL,congstar Homespot & Go L,Mobilfunk,SALE,40.0,EUR,24M,,Telekom Profis,,ACTIVE,2026-07-07
Congstar,100228979,C_AF_XSF,congstar Allnet Flat XS Flex,Mobilfunk,SALE,15.0,EUR,Flex,,Telekom Profis,,ACTIVE,2026-07-07
Congstar,100228979,C_AF_SF,congstar Allnet Flat S Flex,Mobilfunk,SALE,20.0,EUR,Flex,,Telekom Profis,,ACTIVE,2026-07-07
Congstar,100228979,C_AF_MF,congstar Allnet Flat M Flex,Mobilfunk,SALE,30.0,EUR,Flex,,Telekom Profis,,ACTIVE,2026-07-07
Congstar,100228979,C_AF_LF,congstar Allnet Flat L Flex,Mobilfunk,SALE,35.0,EUR,Flex,,Telekom Profis,,ACTIVE,2026-07-07
Congstar,100228979,C_HS_GSF,congstar Homespot & Go S Flex,Mobilfunk,SALE,25.0,EUR,Flex,,Telekom Profis,,ACTIVE,2026-07-07
Congstar,100228979,C_HS_GMF,congstar Homespot & Go M Flex,Mobilfunk,SALE,35.0,EUR,Flex,,Telekom Profis,,ACTIVE,2026-07-07
Congstar,100228979,C_HS_GLF,congstar Homespot & Go L Flex,Mobilfunk,SALE,40.0,EUR,Flex,,Telekom Profis,,ACTIVE,2026-07-07
Congstar,100228979,C_ZH_100F,congstar Zuhause 100 Flex,Festnetz,SALE,30.0,EUR,Flex,,Telekom Profis,,ACTIVE,2026-07-07
Congstar,100228979,C_ZH_250F,congstar Zuhause 250 Flex,Festnetz,SALE,40.0,EUR,Flex,,Telekom Profis,,ACTIVE,2026-07-07
Congstar,100228979,C_ZH_G600F,congstar Zuhause (Glasfaser) 600 Flex,Festnetz,SALE,45.0,EUR,Flex,,Telekom Profis,,ACTIVE,2026-07-07
Congstar,100228979,C_ZH_G1000F,congstar Zuhause (Glasfaser) 1000 Flex,Festnetz,SALE,50.0,EUR,Flex,,Telekom Profis,,ACTIVE,2026-07-07
Congstar,100228979,C_PRE_STICK,congstar Prepaid Internet Stick,Prepaid,SALE,7.0,EUR,,,Telekom Profis,,ACTIVE,2026-07-07
Congstar,100228979,C_PRE_AXS,congstar Prepaid Allnet XS,Prepaid,SALE,2.0,EUR,,,Telekom Profis,,ACTIVE,2026-07-07
Congstar,100228979,C_PRE_AS,congstar Prepaid Allnet S,Prepaid,SALE,3.0,EUR,,,Telekom Profis,,ACTIVE,2026-07-07
Congstar,100228979,C_PRE_AM,congstar Prepaid Allnet M,Prepaid,SALE,5.0,EUR,,,Telekom Profis,,ACTIVE,2026-07-07
Congstar,100228979,C_PRE_AL,congstar Prepaid Allnet L,Prepaid,SALE,7.0,EUR,,,Telekom Profis,,ACTIVE,2026-07-07
Congstar,100228979,C_PRE_AXL,congstar Prepaid Allnet XL,Prepaid,SALE,9.0,EUR,,,Telekom Profis,,ACTIVE,2026-07-07
Congstar,100228979,C_PRE_WIIW,congstar Prepaid wie ich will,Prepaid,SALE,7.0,EUR,,,Telekom Profis,,ACTIVE,2026-07-07
Congstar,100228979,C_PRE_JAH,congstar Prepaid Jahrespaket,Prepaid,SALE,15.0,EUR,,,Telekom Profis,,ACTIVE,2026-07-07
Telekom,100228979,GF_C_1,Glasfaser 150 - MagentaTV Smart,Festnetz,SALE,95.0,EUR,,Connected - Neugeschäft,Telekom Profis,,ACTIVE,2026-07-07
Telekom,100228979,GF_C_2,Glasfaser 300 - MagentaTV Smart,Festnetz,SALE,105.0,EUR,,Connected - Neugeschäft,Telekom Profis,,ACTIVE,2026-07-07
